Student_ID,Gender,Age,District,School_Type,Study_Hours_per_Week,Attendance,Parent_Education,Family_Income_BDT,Internet_Access,Private_Tuition,Previous_GPA,SSC_Result,HSC_Result
1,Male,16,Rangpur,Private,11,70,Graduate,49169,Yes,Yes,4.83,4.22,3.79
2,Female,17,Rajshahi,Private,7,76,Primary,57947,No,No,4.96,4.09,3.01
3,Male,15,Barisal,Private,27,63,Higher Secondary,57224,Yes,Yes,4.32,4.86,3.47
4,Male,15,Mymensingh,Private,18,84,Primary,55865,No,No,4.63,3.54,3.21
5,Male,15,Mymensingh,Public,28,89,Higher Secondary,35553,No,Yes,4.5,4.65,3.39
6,Female,15,Sylhet,Public,14,68,Higher Secondary,48965,No,Yes,4.4,4.85,3.31
7,Male,18,Mymensingh,Private,20,80,Primary,48218,Yes,No,3.61,4.17,2.92
8,Male,15,Rangpur,Public,20,79,Primary,35359,Yes,No,3.11,4.33,2.16
9,Male,18,Khulna,Private,26,78,Secondary,34816,No,Yes,3.69,4.92,3.69
10,Female,18,Dhaka,Public,14,78,Secondary,18378,Yes,Yes,4.33,3.82,3.16
11,Male,15,Rangpur,Private,29,71,Secondary,11881,No,Yes,3.21,4.28,2.66
12,Male,15,Khulna,Private,17,96,Higher Secondary,49567,Yes,No,3.02,4.21,2.71
13,Male,16,Barisal,Public,10,76,Primary,57365,No,No,3.28,3.89,2.65
14,Male,17,Mymensingh,Public,16,96,Graduate,23675,Yes,Yes,4.43,4.73,3.43
15,Female,15,Barisal,Private,13,98,Higher Secondary,14586,No,Yes,4.95,4.85,3.66
16,Male,16,Mymensingh,Private,17,87,Graduate,35006,No,No,4.97,4.67,3.16
17,Female,16,Dhaka,Public,8,94,Primary,51198,No,Yes,3.99,3.79,3.02
18,Female,17,Chattogram,Public,28,77,Higher Secondary,32831,No,No,4.74,3.63,3.31
19,Female,18,Dhaka,Private,15,73,Graduate,45113,Yes,No,4.47,4.41,3.31
20,Male,15,Rajshahi,Public,24,94,Graduate,26459,No,No,4,3.59,2.48
21,Female,17,Rangpur,Private,22,66,Secondary,42443,Yes,No,4.15,4.51,3.77
22,Male,15,Sylhet,Private,15,72,Secondary,52316,Yes,No,3.27,4.3,2.74
23,Female,16,Chattogram,Private,29,77,Secondary,40595,No,No,4.88,4.49,3.54
24,Female,16,Dhaka,Private,25,96,Higher Secondary,15877,Yes,Yes,3.7,4.39,3.96
25,Female,18,Khulna,Public,8,72,Primary,49553,Yes,No,3.89,4.13,2.73
26,Female,16,Chattogram,Public,22,95,Primary,58601,Yes,No,4.34,3.8,2.7
27,Female,16,Rangpur,Public,5,90,Secondary,14922,No,Yes,3.67,3.96,2.54
28,Female,17,Mymensingh,Public,11,61,Secondary,14686,Yes,No,3.51,4.29,2
29,Female,15,Chattogram,Public,10,75,Secondary,42766,Yes,Yes,4.26,4.48,3.46
30,Female,15,Mymensingh,Public,19,68,Graduate,24407,No,No,3.05,4.67,2.64
31,Male,17,Rangpur,Public,22,68,Secondary,42006,No,Yes,4.44,4.65,3.12
32,Male,18,Dhaka,Private,28,97,Graduate,41422,Yes,Yes,4.03,4.96,4.04
33,Female,15,Rangpur,Public,15,70,Primary,22205,No,No,4.21,3.93,2.32
34,Female,16,Chattogram,Public,24,81,Higher Secondary,31054,Yes,No,4.26,3.61,3.21
35,Female,15,Khulna,Private,28,92,Higher Secondary,33527,Yes,No,4.05,4.02,2.53
36,Male,16,Barisal,Public,19,95,Higher Secondary,55947,Yes,No,4.17,4.61,3.18
37,Female,18,Chattogram,Public,20,82,Higher Secondary,28443,No,Yes,4.37,4.16,2.81
38,Male,17,Rangpur,Private,11,93,Graduate,26524,Yes,Yes,4.51,4.73,3.96
39,Male,15,Barisal,Public,25,68,Graduate,38202,No,Yes,4.45,4.32,3.92
40,Male,17,Rangpur,Public,14,83,Secondary,10016,No,No,4.74,4.89,3.46
41,Male,15,Khulna,Public,16,67,Graduate,56142,Yes,Yes,3.38,4.92,3.25
42,Male,16,Rangpur,Private,28,66,Secondary,26848,No,No,3.8,3.6,2.73
43,Female,17,Dhaka,Public,18,95,Secondary,30855,No,No,4.9,4.18,3.72
44,Female,15,Sylhet,Public,29,77,Higher Secondary,28211,No,Yes,3.79,4.41,2.95
45,Female,16,Mymensingh,Private,9,62,Graduate,35095,No,No,3.25,3.88,2
46,Female,17,Mymensingh,Public,25,87,Graduate,48724,No,Yes,4.05,4.11,2.57
47,Female,17,Chattogram,Private,22,65,Secondary,59241,Yes,No,3.22,4.52,2.95
48,Male,15,Sylhet,Private,9,80,Secondary,47583,No,Yes,3.41,3.84,3.31
49,Female,15,Rangpur,Public,7,87,Primary,12843,Yes,No,5,4.4,3.5
50,Female,15,Khulna,Private,27,99,Primary,39301,Yes,Yes,4.08,4.55,3.34
51,Male,16,Chattogram,Private,9,60,Secondary,36460,Yes,Yes,3.57,3.64,3.02
52,Female,15,Rangpur,Public,28,95,Primary,41918,Yes,No,4.99,4.25,3.83
53,Male,17,Barisal,Private,21,80,Primary,38747,Yes,No,4.93,3.89,3.38
54,Female,17,Rajshahi,Private,23,94,Secondary,25972,Yes,Yes,3.88,4.59,3.44
55,Male,15,Rangpur,Public,23,72,Secondary,38310,No,No,3.52,3.78,2.67
56,Female,15,Sylhet,Public,29,69,Graduate,32927,No,No,4.68,4.84,3.57
57,Female,18,Chattogram,Public,25,69,Secondary,11094,No,No,4.43,4.15,2.73
58,Male,17,Sylhet,Private,16,72,Secondary,48892,Yes,Yes,4.37,3.8,3.12
59,Male,16,Chattogram,Public,29,96,Higher Secondary,44172,No,Yes,4.79,4.16,3.62
60,Male,18,Rangpur,Private,13,97,Graduate,33324,No,No,4.38,4.11,3.63
61,Male,15,Dhaka,Private,5,83,Graduate,30674,No,No,3.57,4.14,2.53
62,Male,15,Barisal,Private,22,61,Graduate,13982,Yes,Yes,4.39,4.38,2.53
63,Male,17,Rangpur,Private,25,81,Higher Secondary,55283,No,No,3.61,4.28,3.02
64,Male,15,Mymensingh,Private,8,76,Secondary,25790,Yes,Yes,4.52,3.72,3.46
65,Male,16,Sylhet,Private,14,95,Graduate,22205,No,No,4.24,3.6,2.82
66,Female,17,Rajshahi,Private,29,73,Graduate,34338,Yes,No,3.15,4.59,2.68
67,Female,15,Rajshahi,Public,11,69,Primary,22748,Yes,No,4.03,4.34,2.5
68,Male,17,Khulna,Public,26,94,Graduate,31097,Yes,Yes,3.69,4.04,2.74
69,Female,15,Chattogram,Private,27,84,Secondary,13092,No,Yes,3.66,4.71,3.19
70,Female,15,Sylhet,Private,5,62,Secondary,32692,No,Yes,4.2,4.08,2.31
71,Female,15,Khulna,Public,21,97,Primary,33862,Yes,Yes,3.64,4.69,3.81
72,Female,16,Sylhet,Private,28,76,Graduate,34860,No,No,4.55,3.96,3.21
73,Male,16,Mymensingh,Public,6,71,Graduate,23971,Yes,No,3.14,3.61,2.24
74,Female,17,Chattogram,Public,15,83,Graduate,24616,Yes,Yes,4.32,4.9,3.93
75,Male,15,Rangpur,Public,13,88,Higher Secondary,14933,No,No,4.62,4.09,3.76
76,Female,15,Rangpur,Private,11,84,Graduate,14926,No,No,4.35,4.69,3.23
77,Female,16,Rajshahi,Private,26,95,Secondary,35763,No,Yes,3.99,3.92,3.3
78,Female,15,Rangpur,Public,21,85,Secondary,13969,Yes,No,4.9,4.47,3.86
79,Male,16,Rangpur,Public,21,97,Higher Secondary,45733,Yes,No,3.6,4.81,3.25
80,Female,15,Mymensingh,Public,6,60,Higher Secondary,14319,No,Yes,3.04,3.56,2
81,Male,17,Dhaka,Public,10,79,Graduate,51743,Yes,No,3.86,4.75,3.3
82,Female,15,Rajshahi,Public,18,87,Primary,49876,No,No,3.07,4.36,3.11
83,Male,15,Khulna,Private,10,75,Higher Secondary,51909,Yes,No,4.91,4.41,3.47
84,Female,18,Barisal,Public,6,76,Higher Secondary,30323,No,Yes,3.42,4.28,2.3
85,Male,16,Dhaka,Private,5,99,Graduate,26428,No,Yes,4.58,4.81,3.39
86,Male,15,Khulna,Public,14,87,Graduate,44578,Yes,No,4.55,3.57,2.8
87,Female,15,Chattogram,Private,25,71,Higher Secondary,30950,No,No,3.44,3.89,2.65
88,Male,18,Dhaka,Private,9,86,Primary,53041,No,No,4.24,4.81,3.74
89,Female,18,Mymensingh,Private,6,89,Higher Secondary,51789,Yes,Yes,3.1,4.63,3.27
90,Female,16,Khulna,Private,26,93,Graduate,28293,No,Yes,3.97,3.53,3.24
91,Female,18,Chattogram,Private,20,96,Graduate,16364,Yes,Yes,3.03,4.28,3.04
92,Female,17,Rajshahi,Private,29,65,Higher Secondary,45349,No,No,4.84,4.29,3.73
93,Female,18,Barisal,Public,6,66,Primary,10691,Yes,No,4.95,4.1,3.08
94,Female,17,Chattogram,Private,14,91,Higher Secondary,40062,No,No,3.44,3.95,2.72
95,Female,16,Rangpur,Public,6,91,Higher Secondary,10931,No,No,3.42,4.52,2.6
96,Female,16,Sylhet,Private,20,84,Graduate,55896,No,No,4.51,3.81,3.14
97,Female,16,Chattogram,Private,20,92,Primary,41730,No,Yes,3.51,4.7,3.97
98,Female,16,Chattogram,Public,23,66,Secondary,24226,Yes,No,4.79,4.7,3.85
99,Female,16,Barisal,Private,11,71,Primary,23861,Yes,No,4.15,4.12,2.77
100,Male,17,Sylhet,Public,26,75,Higher Secondary,41301,Yes,No,3.7,3.93,2.75
101,Male,17,Rangpur,Public,16,75,Higher Secondary,58243,Yes,Yes,4.67,3.93,2.84
102,Female,16,Khulna,Public,28,95,Higher Secondary,32766,Yes,No,3.99,4.22,3.47
103,Female,18,Khulna,Public,19,72,Primary,46174,Yes,Yes,4.82,4.58,3.62
104,Female,15,Chattogram,Private,12,66,Graduate,51107,Yes,Yes,4.86,4.04,2.62
105,Female,16,Mymensingh,Private,10,95,Higher Secondary,27695,No,Yes,3.33,4.42,3.02
106,Female,18,Mymensingh,Public,14,68,Higher Secondary,51347,No,Yes,3,4.07,2.24
107,Female,15,Sylhet,Private,7,91,Primary,13121,No,Yes,4.97,3.96,3.74
108,Female,16,Sylhet,Private,23,70,Secondary,28257,No,No,4.81,3.54,3.17
109,Female,16,Rangpur,Public,21,67,Secondary,38164,Yes,No,3.11,3.51,2.97
110,Male,17,Barisal,Private,11,92,Graduate,35491,Yes,Yes,4.67,3.84,2.99
111,Female,15,Rajshahi,Public,25,82,Graduate,33165,Yes,Yes,3.92,4.11,3.01
112,Male,15,Khulna,Public,24,84,Higher Secondary,58714,No,Yes,3.52,4.78,3.33
113,Female,18,Barisal,Private,8,67,Primary,13748,Yes,No,4.76,4.7,3.66
114,Female,17,Dhaka,Private,18,81,Higher Secondary,43045,No,No,3.39,3.9,2.89
115,Male,17,Khulna,Private,24,63,Graduate,36553,Yes,Yes,4.89,3.87,2.81
116,Female,17,Barisal,Public,26,99,Primary,54331,Yes,No,3.41,3.84,3.01
117,Male,17,Khulna,Public,19,62,Primary,40497,Yes,No,4.23,4.01,2.95
118,Female,15,Rajshahi,Private,28,88,Graduate,41308,Yes,Yes,3.45,4.25,2.93
119,Female,15,Dhaka,Private,12,88,Secondary,49560,No,Yes,4.09,4.16,2.81
120,Male,16,Mymensingh,Private,25,93,Secondary,56686,No,No,4.37,3.83,3.88
121,Female,16,Mymensingh,Private,19,93,Primary,20374,Yes,No,3.38,3.7,2.58
122,Male,17,Rajshahi,Public,26,87,Higher Secondary,14675,No,No,4.04,3.52,2.69
123,Female,17,Rangpur,Private,24,72,Secondary,11170,Yes,Yes,3.94,3.73,3.1
124,Male,17,Dhaka,Public,18,74,Higher Secondary,51449,Yes,Yes,3.14,4.56,2.85
125,Male,16,Chattogram,Public,13,82,Secondary,53485,Yes,Yes,4.64,3.87,3.08
126,Female,18,Barisal,Private,12,85,Secondary,22450,Yes,No,3.67,4.2,3.13
127,Female,18,Dhaka,Private,21,63,Higher Secondary,20680,No,No,4.15,4.39,3.28
128,Male,16,Rangpur,Private,6,85,Graduate,20068,Yes,Yes,4.03,4.83,3.28
129,Female,16,Rangpur,Public,29,99,Secondary,45230,Yes,No,4.03,4.83,3.98
130,Female,16,Rajshahi,Private,28,68,Secondary,56418,No,Yes,3.21,4.62,3.08
131,Female,16,Khulna,Private,7,64,Higher Secondary,36206,Yes,No,3.85,3.55,2.21
132,Male,16,Dhaka,Public,12,91,Graduate,10287,No,Yes,3.9,4.36,2.93
133,Male,16,Barisal,Private,16,79,Secondary,32337,Yes,No,4.47,4.68,3.21
134,Male,17,Dhaka,Public,5,70,Secondary,30666,Yes,No,4.68,3.53,2.83
135,Male,17,Sylhet,Private,14,74,Graduate,11161,Yes,Yes,4.09,4.32,2.64
136,Male,17,Khulna,Public,24,91,Secondary,59281,Yes,Yes,3.17,4.79,2.5
137,Male,17,Barisal,Private,7,87,Graduate,45131,Yes,Yes,3.47,4.21,2.74
138,Male,16,Mymensingh,Private,10,81,Graduate,34535,Yes,Yes,3.33,3.51,2
139,Male,18,Barisal,Public,11,76,Higher Secondary,42528,No,Yes,3.25,3.52,2
140,Male,15,Chattogram,Public,24,85,Primary,48751,Yes,No,3.73,4.12,3.18
141,Female,16,Rajshahi,Private,27,66,Graduate,26527,No,Yes,3.46,3.73,2.44
142,Male,15,Chattogram,Public,29,85,Higher Secondary,50975,No,Yes,3.44,4.5,3.34
143,Female,18,Barisal,Public,22,84,Primary,33853,Yes,Yes,3.11,4.56,2.75
144,Female,17,Khulna,Public,15,69,Secondary,24758,No,Yes,3.04,3.77,2
145,Female,18,Dhaka,Public,23,78,Primary,10244,Yes,Yes,3.21,4.83,2.62
146,Male,16,Mymensingh,Private,9,70,Graduate,13178,No,No,3.34,4.16,2.36
147,Male,17,Dhaka,Private,23,72,Graduate,41831,Yes,Yes,3.86,3.71,2.72
148,Male,16,Khulna,Public,15,67,Graduate,12176,No,Yes,4.02,4.65,2.8
149,Male,17,Barisal,Public,28,99,Graduate,47770,No,Yes,3.28,4.68,3.17
150,Female,15,Rangpur,Public,16,63,Graduate,43654,Yes,No,3.85,4.46,2.39
151,Male,15,Dhaka,Public,14,90,Higher Secondary,36627,No,No,3.68,4.78,3.17
152,Male,15,Rangpur,Private,12,87,Graduate,56489,Yes,Yes,3.37,4.61,2.29
153,Male,18,Dhaka,Private,28,70,Higher Secondary,54910,Yes,Yes,3.01,4.82,2.92
154,Male,16,Dhaka,Public,13,60,Secondary,34881,Yes,No,3.93,4.15,3.01
155,Male,18,Mymensingh,Public,8,97,Graduate,45422,Yes,No,4.37,4.62,3.71
156,Female,15,Rajshahi,Public,9,83,Graduate,21984,Yes,No,3.45,5,3.62
157,Male,16,Rajshahi,Private,25,90,Primary,33776,No,Yes,3.26,4.59,2.56
158,Female,15,Sylhet,Public,12,85,Secondary,27755,No,Yes,4.77,3.67,3.35
159,Male,18,Chattogram,Private,27,64,Graduate,17135,No,No,3.55,4.28,3.35
160,Female,18,Khulna,Public,13,79,Graduate,10320,Yes,Yes,3.45,4.38,3.15
